影像号,读者,split,n_roi,n_below,n_above,frac_below,frac_above,roi_min,roi_max
IMG-9E2C4ABE0B,R1,A,8856,0,0,0.0,0.0,0.7846020460128784,4.65574836730957
IMG-9E2C4ABE0B,R2,A,20993,0,0,0.0,0.0,0.4601064622402191,6.279624938964844
IMG-D0FB6C7AE7,R1,A,4667,0,0,0.0,0.0,0.48356717824935913,3.5648608207702637
IMG-D0FB6C7AE7,R2,A,9579,0,0,0.0,0.0,0.42373913526535034,4.6788554191589355
IMG-ECE86CBFCB,R1,A,5636,0,0,0.0,0.0,0.7457740902900696,2.9628095626831055
IMG-ECE86CBFCB,R2,A,17768,0,0,0.0,0.0,0.7095726132392883,5.6511640548706055
IMG-D31CF4ABF7,R1,A,7429,0,0,0.0,0.0,1.0700279474258423,6.6356916427612305
IMG-D31CF4ABF7,R2,A,5997,0,0,0.0,0.0,0.9846373200416565,7.327512741088867
IMG-1815129EC4,R1,A,50058,0,0,0.0,0.0,0.5476018786430359,5.80861234664917
IMG-1815129EC4,R2,A,49209,0,0,0.0,0.0,0.5209754705429077,7.520235538482666
IMG-AD73EFA971,R1,A,12690,0,0,0.0,0.0,0.7120377421379089,5.509617328643799
IMG-AD73EFA971,R2,A,14036,0,0,0.0,0.0,0.3519594967365265,7.919208526611328
IMG-71847CEE34,R1,A,5737,0,0,0.0,0.0,0.6902040839195251,3.050328493118286
IMG-71847CEE34,R2,A,16697,0,0,0.0,0.0,0.3974415063858032,4.899410247802734
IMG-72F57C8B9D,R1,A,1682,0,0,0.0,0.0,0.9454836845397949,4.7316083908081055
IMG-72F57C8B9D,R2,A,3642,0,0,0.0,0.0,0.8260046243667603,6.476872444152832
IMG-F8825C15D4,R1,A,14477,0,0,0.0,0.0,0.7578305006027222,3.4826226234436035
IMG-F8825C15D4,R2,A,15952,0,0,0.0,0.0,0.5510708093643188,5.7542901039123535
IMG-B1DBEB52F4,R1,A,21919,0,0,0.0,0.0,0.8003952503204346,8.916802406311035
IMG-B1DBEB52F4,R2,A,50045,0,0,0.0,0.0,-0.029777677729725838,10.739510536193848
IMG-825C59B3C8,R1,A,17490,0,0,0.0,0.0,0.5420081615447998,5.758485317230225
IMG-825C59B3C8,R2,A,20291,0,0,0.0,0.0,0.5130908489227295,6.532675743103027
IMG-DA4569F340,R1,A,7591,0,0,0.0,0.0,0.7434380054473877,2.8145856857299805
IMG-DA4569F340,R2,A,14748,0,0,0.0,0.0,0.6900214552879333,3.3254270553588867
IMG-8BF8DD5DE4,R1,A,10399,0,0,0.0,0.0,0.7568172812461853,4.593397617340088
IMG-8BF8DD5DE4,R2,A,16355,0,0,0.0,0.0,0.6574376821517944,5.471843242645264
IMG-16B3264BD9,R1,A,2937,0,0,0.0,0.0,0.6841381788253784,4.416330814361572
IMG-16B3264BD9,R2,A,4256,0,0,0.0,0.0,0.4783731698989868,5.9547224044799805
IMG-34B5A93F0D,R1,A,39812,0,0,0.0,0.0,0.3187972605228424,4.8057355880737305
IMG-34B5A93F0D,R2,A,26840,0,0,0.0,0.0,-0.026463696733117104,7.03825044631958
IMG-893073F906,R1,A,10817,0,0,0.0,0.0,0.9566130638122559,5.3355183601379395
IMG-893073F906,R2,A,17359,0,0,0.0,0.0,0.3657956123352051,8.717245101928711
IMG-EE9195B25E,R1,A,15011,0,0,0.0,0.0,0.8660987019538879,5.751137733459473
IMG-EE9195B25E,R2,A,22468,0,0,0.0,0.0,0.8083844780921936,8.274239540100098
IMG-8F0C09D99C,R1,A,4777,0,0,0.0,0.0,0.9411602020263672,5.524912357330322
IMG-8F0C09D99C,R2,A,6458,0,0,0.0,0.0,0.5883272290229797,6.042751312255859
IMG-EDA063D47C,R1,A,9337,0,0,0.0,0.0,0.7317826747894287,5.2607574462890625
IMG-EDA063D47C,R2,A,19156,0,0,0.0,0.0,0.5056700706481934,7.03776741027832
IMG-7350051976,R1,A,14682,0,0,0.0,0.0,0.6069336533546448,4.441689491271973
IMG-7350051976,R2,A,22325,0,0,0.0,0.0,0.5885789394378662,6.43651008605957
IMG-4950E13031,R1,A,11758,0,0,0.0,0.0,0.7437427043914795,4.363430500030518
IMG-4950E13031,R2,A,17852,0,0,0.0,0.0,0.5725524425506592,5.239778518676758
IMG-182FA24923,R1,A,5717,0,0,0.0,0.0,0.5909580588340759,1.7229567766189575
IMG-182FA24923,R2,A,9642,0,0,0.0,0.0,0.6201806664466858,2.3673133850097656
