影像号,读者,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass
IMG-FD56119EA7,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},1447bf3e9c92195cd01cdd74a74af581771f1eb5,3D,"(0.9999999999999998, 1.0, 2.0)","(36, 31, 21)",9.622461170848268,2.0,22.0,8d38cb7f9837483e5ee0c62138efb3a6a906f481,"(0.9999999999999998, 1.0, 2.0)","(36, 31, 21)","(5, 5, 5, 26, 21, 11)",1634,1,"(16.831701346389227, 13.814565483476132, 8.929008567931456)","(-0.8072436433600352, -10.228598320058968, -72.71725177904422)"
IMG-5B9E750116,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},9674e41e872271aeb3eb403c1ede171ddaa12494,3D,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)",16.89537518885345,1.0,42.0,cfd8560dcfb5b1e76629428b9519f899dee283f3,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)","(5, 5, 3, 36, 32, 30)",7901,1,"(22.790532843943804, 20.52727502847741, 17.694215922035184)","(0.9417005722287186, 37.68675923936933, -8.044396707770563)"
IMG-81E9925726,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},401e64feb3e0cb00c207387b740f46c94f1896cd,3D,"(1.0, 1.0, 2.0)","(51, 39, 29)",17.06979768034535,1.0,38.0,36609a99d6e7d0e5f49613cd82c406ef8e11ae54,"(1.0, 1.0, 2.0)","(51, 39, 29)","(5, 5, 5, 41, 29, 19)",7865,1,"(25.974825174825174, 17.504005085823266, 14.106929434202161)","(0.5974391763983853, 39.39506360228509, -23.31354113159569)"
IMG-FE253BFCC1,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},f82813bcd9c4978b47d68ba42a2de6a4b16a36f8,3D,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)",11.262704248366013,1.0,37.0,8b64ddfee021e491cb172b3cb2e9ff345ffa4838,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)","(5, 5, 1, 50, 50, 32)",27308,1,"(30.464296176944487, 28.459022996923977, 15.952944192178116)","(-0.447724302111979, 25.237376680484164, -29.627229421946076)"
IMG-7F272E52C4,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},0243e97845b7013d0be4f827af871614bd5f9558,3D,"(1.0, 0.9999999999999998, 2.0)","(41, 50, 26)",13.366285178236398,1.0,38.0,6db6ce80c386dd41d70e1a45783350fd47ffd61d,"(1.0, 0.9999999999999998, 2.0)","(41, 50, 26)","(5, 5, 5, 31, 40, 16)",9025,1,"(20.581717451523545, 24.94371191135734, 12.801883656509695)","(-1.5687239770759263, 50.544461079246545, -10.60069530809864)"
IMG-05082286D9,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},45001812bbbdc258faaf62e7f87ed5ee8039676e,3D,"(1.0, 1.0, 1.9999999999999998)","(78, 70, 40)",15.589592490842492,1.0,35.0,19a4e4999b44e07ccd5a52029a813735065bf97b,"(1.0, 1.0, 1.9999999999999998)","(78, 70, 40)","(5, 5, 5, 68, 60, 31)",32487,1,"(36.69846400098501, 32.85908209437621, 17.89931357158248)","(18.57311708325769, 15.674594627803486, 7.9402545747818)"
IMG-380589DDAC,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},509755ce836e5b042aa4d370a8a50165435604ce,3D,"(1.0, 1.0, 1.9999999999999998)","(44, 41, 29)",12.489792797614497,1.0,27.0,bedb709e1afbf522024564fd0677964ed341120e,"(1.0, 1.0, 1.9999999999999998)","(44, 41, 29)","(5, 5, 5, 34, 31, 19)",5590,1,"(19.14364937388193, 22.840429338103757, 12.87191413237925)","(-5.261122587766852, 41.12246677754562, 17.77625600182025)"
IMG-8EEA8E66A1,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},c0dd19f992dd5ec7db36feb89fd16b3e0bd4c54a,3D,"(1.0, 1.0, 2.0)","(41, 40, 29)",12.627439024390243,2.0,33.0,1a605c4fe2d803bec9d89d37a1a1911adb6895a0,"(1.0, 1.0, 2.0)","(41, 40, 29)","(5, 5, 5, 31, 30, 19)",5240,1,"(20.45496183206107, 20.466603053435115, 15.317557251908397)","(-0.9709381679389288, 63.011603053435124, 60.6945145038168)"
IMG-2586B3625A,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},88381f6122952a3541b97cc33ea3559a4ada4ec3,3D,"(1.0, 1.0, 1.9999999999999998)","(40, 39, 28)",12.186080586080585,2.0,45.0,d257357de30dc79f0ebf62ef0cd349bd88681c76,"(1.0, 1.0, 1.9999999999999998)","(40, 39, 28)","(5, 5, 5, 30, 29, 18)",5741,1,"(19.588225047901062, 16.789409510538235, 13.229576728792892)","(2.7831250479010947, 34.99670951053823, -47.44984654241422)"
IMG-B842AB8222,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},ea87180f6b12ca00d0460e64541e8c90381c8ea2,3D,"(1.0, 1.0, 2.0)","(30, 35, 20)",17.22504761904762,1.0,41.0,050ccbca1d6c5b8e36fdd0fb5288ef16de184a10,"(1.0, 1.0, 2.0)","(30, 35, 20)","(5, 5, 5, 20, 25, 10)",1973,1,"(13.739989863152559, 16.34363912823112, 9.179422199695894)","(-22.068857084282868, 59.15482362923778, -31.428043108379782)"
