影像号,读者,split,n_roi,n_below,n_above,frac_below,frac_above,roi_min,roi_max
IMG-C518AF9324,R1,A,15792,0,0,0.0,0.0,1.0422825813293457,6.26170015335083
IMG-56DFF2D2FE,R1,A,47073,0,0,0.0,0.0,0.617587685585022,4.656579971313477
IMG-5E6C0EE889,R1,A,4451,0,0,0.0,0.0,0.5791664123535156,5.62699556350708
IMG-45EE2A9CDC,R1,A,9106,0,0,0.0,0.0,0.7747870087623596,4.046287536621094
IMG-38B5B96114,R1,A,23753,0,0,0.0,0.0,0.2785116732120514,12.571270942687988
IMG-1815129EC4,R1,A,50058,0,0,0.0,0.0,0.5476946830749512,5.809318542480469
IMG-1815129EC4,R2,A,49209,0,0,0.0,0.0,0.5210301876068115,7.521697998046875
IMG-85B5930876,R1,A,25159,0,0,0.0,0.0,0.6947273015975952,5.917811393737793
IMG-F07AE3A14A,R1,A,14131,0,0,0.0,0.0,0.756661057472229,4.041866302490234
IMG-0CCEB31762,R1,A,13185,0,0,0.0,0.0,0.6325085163116455,7.06584358215332
IMG-8605D71E24,R1,A,5504,0,0,0.0,0.0,0.7938697934150696,6.339138031005859
IMG-76EDC743AD,R1,A,7474,0,0,0.0,0.0,0.719150722026825,4.465522289276123
IMG-D5C387DB04,R1,A,527,0,0,0.0,0.0,1.271389365196228,3.6664533615112305
IMG-13AB453ACC,R1,A,16001,0,0,0.0,0.0,0.7887687683105469,4.636858940124512
IMG-F990629A43,R1,A,7652,0,0,0.0,0.0,0.8239220380783081,6.446316719055176
IMG-A7DECE2A4F,R1,B,6065,0,0,0.0,0.0,0.6552989482879639,4.947378635406494
IMG-EE31B11EBE,R1,A,3976,0,0,0.0,0.0,0.7620254755020142,6.629981517791748
IMG-94E4BDAA75,R1,A,13557,0,0,0.0,0.0,0.5796065330505371,5.411227703094482
IMG-38EF930E76,R1,A,20494,0,0,0.0,0.0,0.7426063418388367,7.565898895263672
IMG-41EAFCF85F,R1,A,6884,0,0,0.0,0.0,1.2402478456497192,7.613255977630615
IMG-ABFF501689,R1,A,1031,0,0,0.0,0.0,1.0638357400894165,4.342060565948486
IMG-7CBC99386C,R1,A,8480,0,0,0.0,0.0,0.8039847612380981,5.492041110992432
IMG-179056E0FE,R1,B,17984,0,0,0.0,0.0,1.040989637374878,4.16328763961792
IMG-4A4951ED11,R1,B,2348,0,0,0.0,0.0,0.6762569546699524,3.0361435413360596
IMG-0E260E9467,R1,A,14936,0,0,0.0,0.0,1.004719853401184,6.6542534828186035
IMG-2D81B46B15,R1,A,9926,0,0,0.0,0.0,0.5512661933898926,4.561801910400391
IMG-9E4E3CF0DC,R1,A,8892,0,0,0.0,0.0,1.1753329038619995,5.9171600341796875
IMG-D9B504042D,R1,A,12382,0,0,0.0,0.0,0.9288809895515442,4.907913684844971
IMG-882D513D84,R1,B,17898,0,0,0.0,0.0,1.1928082704544067,4.508082866668701
IMG-6827311D79,R1,A,10012,0,0,0.0,0.0,0.7952039241790771,5.177650451660156
IMG-BDD045A536,R1,A,22556,0,0,0.0,0.0,0.6799275279045105,4.892025947570801
IMG-C67D2F1ADF,R1,A,15950,0,0,0.0,0.0,0.7092244029045105,4.266237735748291
IMG-E025660C70,R1,A,4462,0,0,0.0,0.0,0.7361821532249451,8.640348434448242
IMG-C7F57DC895,R1,B,57987,0,0,0.0,0.0,1.0009664297103882,5.62122106552124
IMG-B63D1A35CF,R1,A,7533,0,0,0.0,0.0,1.3742305040359497,5.483336448669434
IMG-A8BED95109,R1,B,4931,0,0,0.0,0.0,0.9453616142272949,3.8904097080230713
IMG-ECA2952C4C,R1,A,5611,0,0,0.0,0.0,1.2658742666244507,7.518258571624756
IMG-6B62EF437D,R1,B,4213,0,0,0.0,0.0,1.1921939849853516,3.907233238220215
IMG-4285B9C1CD,R1,A,4763,0,0,0.0,0.0,1.5626959800720215,9.147480010986328
IMG-AD73EFA971,R1,A,12690,0,0,0.0,0.0,0.7121425271034241,5.510497570037842
IMG-AD73EFA971,R2,A,14036,0,0,0.0,0.0,0.35199829936027527,7.920568466186523
IMG-2348AD09B4,R1,A,11200,0,0,0.0,0.0,0.7597328424453735,7.018340110778809
IMG-FF80C5A277,R1,A,12620,0,0,0.0,0.0,0.925767719745636,7.0962300300598145
IMG-4ADDC9946B,R1,A,3435,0,0,0.0,0.0,0.7702556252479553,4.848363399505615
IMG-557CCA8640,R1,B,5018,0,0,0.0,0.0,1.715664029121399,5.1619696617126465
IMG-922C9D652E,R1,A,12158,0,0,0.0,0.0,0.40231871604919434,4.733002662658691
IMG-4C76CFDF5A,R1,A,4900,0,0,0.0,0.0,1.1102615594863892,5.326786518096924
IMG-46D99E88E9,R1,B,6185,0,0,0.0,0.0,1.3710110187530518,4.379909515380859
