影像号,读者,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass
IMG-FD56119EA7,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},6015045524590fa5e9a4e04119c31ce2cda32d34,3D,"(0.9999999999999998, 1.0, 2.0)","(36, 31, 21)",52.577146270694655,1.0,158.0,8d38cb7f9837483e5ee0c62138efb3a6a906f481,"(0.9999999999999998, 1.0, 2.0)","(36, 31, 21)","(5, 5, 5, 26, 21, 11)",1634,1,"(16.831701346389227, 13.814565483476132, 8.929008567931456)","(-0.8072436433600352, -10.228598320058968, -72.71725177904422)"
IMG-05082286D9,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},7a366fe30bd04025df5b5983ff91a06dce3ac908,3D,"(1.0, 1.0, 1.9999999999999998)","(78, 70, 40)",59.422399267399264,1.0,146.0,19a4e4999b44e07ccd5a52029a813735065bf97b,"(1.0, 1.0, 1.9999999999999998)","(78, 70, 40)","(5, 5, 5, 68, 60, 31)",32487,1,"(36.69846400098501, 32.85908209437621, 17.89931357158248)","(18.57311708325769, 15.674594627803486, 7.9402545747818)"
IMG-380589DDAC,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},8b405f0a541e5cac5e9c7f0bf87bf7d53bb4609c,3D,"(1.0, 1.0, 1.9999999999999998)","(44, 41, 29)",89.68634834467467,1.0,174.0,bedb709e1afbf522024564fd0677964ed341120e,"(1.0, 1.0, 1.9999999999999998)","(44, 41, 29)","(5, 5, 5, 34, 31, 19)",5590,1,"(19.14364937388193, 22.840429338103757, 12.87191413237925)","(-5.261122587766852, 41.12246677754562, 17.77625600182025)"
IMG-8EEA8E66A1,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},bb6c2a4837968adc474274035831b7b0bff8314c,3D,"(1.0, 1.0, 2.0)","(41, 40, 29)",74.42426408746846,1.0,174.0,1a605c4fe2d803bec9d89d37a1a1911adb6895a0,"(1.0, 1.0, 2.0)","(41, 40, 29)","(5, 5, 5, 31, 30, 19)",5240,1,"(20.45496183206107, 20.466603053435115, 15.317557251908397)","(-0.9709381679389288, 63.011603053435124, 60.6945145038168)"
IMG-5B9E750116,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},237fe90bf02987ff767f87c865007cc26e5c215f,3D,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)",71.76822785518438,27.0,141.0,cfd8560dcfb5b1e76629428b9519f899dee283f3,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)","(5, 5, 3, 36, 32, 30)",7901,1,"(22.790532843943804, 20.52727502847741, 17.694215922035184)","(0.9417005722287186, 37.68675923936933, -8.044396707770563)"
IMG-81E9925726,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},417600548dade3815dd383de6358ef5157ae324d,3D,"(1.0, 1.0, 2.0)","(51, 39, 29)",60.81486104609837,24.0,106.0,36609a99d6e7d0e5f49613cd82c406ef8e11ae54,"(1.0, 1.0, 2.0)","(51, 39, 29)","(5, 5, 5, 41, 29, 19)",7865,1,"(25.974825174825174, 17.504005085823266, 14.106929434202161)","(0.5974391763983853, 39.39506360228509, -23.31354113159569)"
IMG-FE253BFCC1,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},71e760175fccb7db0e84740af79050004b30cd13,3D,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)",59.1796977124183,18.0,154.0,8b64ddfee021e491cb172b3cb2e9ff345ffa4838,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)","(5, 5, 1, 50, 50, 32)",27308,1,"(30.464296176944487, 28.459022996923977, 15.952944192178116)","(-0.447724302111979, 25.237376680484164, -29.627229421946076)"
IMG-7F272E52C4,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},4f4b68809eb314f3ad06106af455ab85d890ee87,3D,"(1.0, 0.9999999999999998, 2.0)","(41, 50, 26)",64.66975609756098,17.0,165.0,6db6ce80c386dd41d70e1a45783350fd47ffd61d,"(1.0, 0.9999999999999998, 2.0)","(41, 50, 26)","(5, 5, 5, 31, 40, 16)",9025,1,"(20.581717451523545, 24.94371191135734, 12.801883656509695)","(-1.5687239770759263, 50.544461079246545, -10.60069530809864)"
IMG-CC74D73278,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},68160d9d259b930617c76e3b9f02a8e44a03f472,3D,"(1.0, 1.0, 1.9999999999999998)","(40, 29, 19)",51.82672413793104,1.0,174.0,cccaa191c5e5511eeefbc006806d74853630d04a,"(1.0, 1.0, 1.9999999999999998)","(40, 29, 19)","(5, 5, 5, 30, 19, 9)",1875,1,"(20.8016, 13.136533333333333, 8.768)","(-11.047051798697467, 12.640804122088383, -36.9099259696125)"
IMG-B842AB8222,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},2bd0e19706c11ae2c92237d1ec24f7ae6e8678a5,3D,"(1.0, 1.0, 2.0)","(30, 35, 20)",95.93338095238096,1.0,174.0,050ccbca1d6c5b8e36fdd0fb5288ef16de184a10,"(1.0, 1.0, 2.0)","(30, 35, 20)","(5, 5, 5, 20, 25, 10)",1973,1,"(13.739989863152559, 16.34363912823112, 9.179422199695894)","(-22.068857084282868, 59.15482362923778, -31.428043108379782)"
IMG-03F1BA49E0,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},0bace15c2c08b065e2fb22be96168e53cca89afc,3D,"(0.9999999999999999, 0.9999999999999999, 2.0)","(49, 62, 31)",61.78774236021152,10.0,174.0,f5be003049e41bf1dbbab43ffa1ece5f4298ee93,"(0.9999999999999999, 0.9999999999999999, 2.0)","(49, 62, 31)","(5, 5, 1, 39, 52, 25)",14394,1,"(23.41169931916076, 31.86202584410171, 13.864110045852438)","(0.8379850500058375, 29.967751860597563, 8.965677942035896)"
IMG-2F73457616,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},f14f4e1d35be6f5e2b029aa03a62b02245763eac,3D,"(0.9999999999999999, 1.0, 1.9999999999999998)","(51, 65, 33)",55.50015997074821,3.0,174.0,a4f7344c4f7ac900dbfd96d7cdce8f3d8b296169,"(0.9999999999999999, 1.0, 1.9999999999999998)","(51, 65, 33)","(5, 5, 3, 41, 55, 25)",6836,1,"(27.379900526623757, 27.90579286132241, 15.3734640140433)","(-2.493321320227068, 38.037769032026276, 72.63233135300868)"
IMG-887B5BBEA4,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},764f81d3f80097695547ca87cbc1a4694b6eaa3f,3D,"(0.9999999999999999, 1.0, 2.0)","(42, 49, 33)",84.24501575521984,11.0,164.0,6c154be67d9f23bbb3ec10ff73dd8e94c2b662fd,"(0.9999999999999999, 1.0, 2.0)","(42, 49, 33)","(5, 5, 5, 32, 39, 23)",9742,1,"(21.034489837815645, 25.568466433997127, 15.434715664134675)","(-1.242423581470259, 29.192077777996687, -64.45121560562)"
IMG-AD2B6907E7,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},81593f90a5b360c09e34b34d5b77b19c0e6d128d,3D,"(1.0, 1.0, 1.9999999999999998)","(48, 46, 30)",80.43251811594203,15.0,165.0,f703c7134722f2823a29bec90f89e802ab622fa2,"(1.0, 1.0, 1.9999999999999998)","(48, 46, 30)","(5, 5, 5, 38, 36, 20)",7904,1,"(24.25139170040486, 22.64891194331984, 15.288461538461538)","(-3.17631854363664, 38.12801929025343, 43.15642739299716)"
IMG-FF74DF2CB0,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},11e58f299aac04c0f6098b5e38fbc010119391b7,3D,"(1.0, 1.0, 1.9999999999999998)","(40, 46, 30)",68.59398550724637,1.0,174.0,bff41a4707059f1fb15f300580759ae66cb2aeaa,"(1.0, 1.0, 1.9999999999999998)","(40, 46, 30)","(5, 5, 5, 30, 36, 20)",5334,1,"(17.496062992125985, 21.053243344581926, 12.48931383577053)","(-7.619037007873999, 64.89904334458195, 33.91032767154105)"
IMG-CA8DB0E356,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},ea9cceec6d7a2bee85ac687fa6223ec8fdf4d62e,3D,"(1.0, 1.0, 2.0)","(38, 43, 24)",67.57065993472052,9.0,167.0,5300e90a5bf1c8a3494c3ed6e45fcbbaa4c0da31,"(1.0, 1.0, 2.0)","(38, 43, 24)","(5, 5, 3, 28, 33, 16)",2943,1,"(18.40808698606864, 21.651715936119604, 11.898063200815495)","(-6.836168912785109, 44.63755540245508, 13.408549625842003)"
IMG-2586B3625A,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},ede33e4693422ed4bbc538046b4b2e1ab1164deb,3D,"(1.0, 1.0, 1.9999999999999998)","(40, 39, 28)",52.002518315018314,13.0,173.0,d257357de30dc79f0ebf62ef0cd349bd88681c76,"(1.0, 1.0, 1.9999999999999998)","(40, 39, 28)","(5, 5, 5, 30, 29, 18)",5741,1,"(19.588225047901062, 16.789409510538235, 13.229576728792892)","(2.7831250479010947, 34.99670951053823, -47.44984654241422)"
