影像号,读者,split,n_roi,n_below,n_above,frac_below,frac_above,roi_min,roi_max
IMG-9E2C4ABE0B,R1,A,8856,0,0,0.0,0.0,-3.397594690322876,6.239192962646484
IMG-9E2C4ABE0B,R2,A,20993,0,0,0.0,0.0,-2.6879281997680664,6.646562576293945
IMG-D0FB6C7AE7,R1,A,4667,0,0,0.0,0.0,-2.313704013824463,4.363320827484131
IMG-D0FB6C7AE7,R2,A,9579,0,0,0.0,0.0,-2.350255250930786,5.095591068267822
IMG-1815129EC4,R1,A,50058,0,0,0.0,0.0,-3.9812169075012207,9.19027328491211
IMG-1815129EC4,R2,A,49209,0,0,0.0,0.0,-4.012537002563477,10.551733016967773
IMG-AD73EFA971,R1,A,12690,0,0,0.0,0.0,-2.6531174182891846,5.785693645477295
IMG-AD73EFA971,R2,A,14036,0,0,0.0,0.0,-3.0467276573181152,11.297876358032227
IMG-ECE86CBFCB,R1,A,5636,0,0,0.0,0.0,-2.8643670082092285,5.129998683929443
IMG-ECE86CBFCB,R2,A,17768,0,0,0.0,0.0,-2.8944389820098877,6.412379741668701
IMG-D31CF4ABF7,R1,A,7429,0,0,0.0,0.0,-2.411235809326172,2.8098602294921875
IMG-D31CF4ABF7,R2,A,5997,0,0,0.0,0.0,-3.023524284362793,3.715083599090576
IMG-71847CEE34,R1,A,5737,0,0,0.0,0.0,-3.491828203201294,4.866552829742432
IMG-71847CEE34,R2,A,16697,0,0,0.0,0.0,-3.144969940185547,6.038034439086914
IMG-72F57C8B9D,R1,A,1682,0,0,0.0,0.0,-3.764131546020508,4.812730312347412
IMG-72F57C8B9D,R2,A,3642,0,0,0.0,0.0,-2.782569169998169,6.694872856140137
IMG-F8825C15D4,R1,A,14477,0,0,0.0,0.0,-3.5316195487976074,5.038866996765137
IMG-F8825C15D4,R2,A,15952,0,0,0.0,0.0,-3.598454236984253,7.2316789627075195
IMG-B1DBEB52F4,R1,A,21919,0,0,0.0,0.0,-2.996274948120117,4.888546466827393
IMG-B1DBEB52F4,R2,A,50045,0,0,0.0,0.0,-3.008291482925415,4.484006404876709
IMG-825C59B3C8,R1,A,17490,0,0,0.0,0.0,-2.8119757175445557,3.581268548965454
IMG-825C59B3C8,R2,A,20291,0,0,0.0,0.0,-2.7284343242645264,5.035076141357422
IMG-DA4569F340,R1,A,7591,0,0,0.0,0.0,-2.693974256515503,3.9802849292755127
IMG-DA4569F340,R2,A,14748,0,0,0.0,0.0,-2.508462429046631,5.37014102935791
IMG-8BF8DD5DE4,R1,A,10399,0,0,0.0,0.0,-2.945145606994629,4.538464546203613
IMG-8BF8DD5DE4,R2,A,16355,0,0,0.0,0.0,-2.953082799911499,5.521050453186035
IMG-16B3264BD9,R1,A,2937,0,0,0.0,0.0,-2.761585235595703,3.698951482772827
IMG-16B3264BD9,R2,A,4256,0,0,0.0,0.0,-3.0543112754821777,6.0444111824035645
IMG-34B5A93F0D,R1,A,39812,0,0,0.0,0.0,-3.0627574920654297,5.693871974945068
IMG-34B5A93F0D,R2,A,26840,0,0,0.0,0.0,-3.6890718936920166,8.250670433044434
IMG-893073F906,R1,A,10817,0,0,0.0,0.0,-2.9864282608032227,3.110508680343628
IMG-893073F906,R2,A,17359,0,0,0.0,0.0,-2.8761589527130127,4.378749370574951
IMG-EE9195B25E,R1,A,15011,0,0,0.0,0.0,-3.1913087368011475,5.878381729125977
IMG-EE9195B25E,R2,A,22468,0,0,0.0,0.0,-2.7271156311035156,9.619974136352539
IMG-8F0C09D99C,R1,A,4777,0,0,0.0,0.0,-3.276052236557007,4.20894193649292
IMG-8F0C09D99C,R2,A,6458,0,0,0.0,0.0,-3.2652642726898193,4.948370933532715
IMG-EDA063D47C,R1,A,9337,0,0,0.0,0.0,-2.598008632659912,6.45524787902832
IMG-EDA063D47C,R2,A,19156,0,0,0.0,0.0,-3.0955700874328613,6.005334377288818
IMG-7350051976,R1,A,14682,0,0,0.0,0.0,-2.768582820892334,4.486513137817383
IMG-7350051976,R2,A,22325,0,0,0.0,0.0,-2.5344555377960205,6.218750953674316
IMG-4950E13031,R1,A,11758,0,0,0.0,0.0,-3.033651351928711,5.97983980178833
IMG-4950E13031,R2,A,17852,0,0,0.0,0.0,-2.8896613121032715,7.083928108215332
IMG-182FA24923,R1,A,5717,0,0,0.0,0.0,-2.793300151824951,5.46734619140625
IMG-182FA24923,R2,A,9642,0,0,0.0,0.0,-2.617406129837036,6.304367542266846
