影像号,读者,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass
IMG-2997B8DB4A,R2,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},cf7e26d294489c667ea67ddc71ed3ba702ba8c1e,3D,"(0.9999999999999999, 0.9999999999999999, 2.0)","(58, 50, 40)",28.49543103448276,1.0,63.0,033e0da5c151c5a9e5c41e96a89f2cb0c360a2c6,"(0.9999999999999999, 0.9999999999999999, 2.0)","(58, 50, 40)","(5, 5, 5, 48, 40, 33)",17225,1,"(27.30856313497823, 21.957793904208998, 20.15529753265602)","(-11.616328710286421, 31.382346707128235, 43.584875772963315)"
IMG-02734B0906,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},9860380ed9fc5193b7966ff55027d069e8a105b8,3D,"(0.9999999999999999, 1.0, 2.0)","(38, 33, 23)",28.324908120102627,5.0,76.0,39ffb8ad5ec66e30fff2e7aa0f8134b9b06be5f9,"(0.9999999999999999, 1.0, 2.0)","(38, 33, 23)","(5, 5, 5, 28, 23, 13)",3751,1,"(19.43881631564916, 15.670221274326845, 10.904025593175152)","(-16.508553410254404, 24.601889979425998, 17.319712662896464)"
IMG-A7BAC44F4F,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},801047f8fd3c895998b0b2186ee5289938faf28c,3D,"(0.9999999999999999, 0.9999999999999999, 1.9999999999999998)","(46, 51, 35)",44.97536231884058,1.0,101.0,ef06010bdaa5babaec8fd78a7b88ba25910690b8,"(0.9999999999999999, 0.9999999999999999, 1.9999999999999998)","(46, 51, 35)","(5, 5, 5, 36, 41, 25)",8665,1,"(22.440969417195614, 25.40253894979804, 15.437045585689555)","(-2.2039482324568596, 51.0249098997289, -3.0067088286209227)"
IMG-A770337F54,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},b78286eb7901d0c2a4e02de942a407d5dbd2bdd0,3D,"(1.0, 1.0, 1.9999999999999998)","(53, 53, 24)",31.939168743325027,2.0,93.0,5c28f4dc54036015e32b146067c2b38cbb8f0e00,"(1.0, 1.0, 1.9999999999999998)","(53, 53, 24)","(5, 5, 5, 43, 43, 18)",7965,1,"(24.00527306967985, 27.527306967984934, 14.083490269930948)","(-6.155224826902529, 56.77439207414139, -23.756749475912443)"
IMG-EDA063D47C,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},24446b545969ae06031671120fcd0571a081a110,3D,"(1.0, 1.0, 2.0)","(64, 57, 38)",39.610521987534625,1.0,101.0,85dfcee61bd99bb8147ceee05ed0ef31253a9da2,"(1.0, 1.0, 2.0)","(64, 57, 38)","(10, 8, 9, 39, 42, 24)",9337,1,"(28.87951162043483, 27.697226089750455, 22.173717468137518)","(0.8114183399886699, 35.64415540594408, 19.10881935715403)"
IMG-C078D26AF1,R2,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},93939d250aa7b8dcc4e45dc1c822ee9ff77d1743,3D,"(1.0, 1.0, 1.9999999999999998)","(55, 65, 40)",27.25651748251748,1.0,60.0,64d8a55797bae362368b1d62742d8139641b08bb,"(1.0, 1.0, 1.9999999999999998)","(55, 65, 40)","(5, 5, 5, 45, 55, 33)",26043,1,"(26.087125139192874, 33.31613101409208, 19.77667703413585)","(14.602158221138703, 40.88688910699512, 25.163867150752463)"
IMG-D316ED2AE7,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},cff17b8b041bc8398df7800b31333ff40d42c9d8,3D,"(0.9999999999999999, 0.9999999999999999, 2.0)","(56, 50, 30)",37.58002380952381,2.0,101.0,e633327ba20c1522848771ad64ba704f730bfd80,"(0.9999999999999999, 0.9999999999999999, 2.0)","(56, 50, 30)","(5, 5, 0, 46, 40, 26)",15638,1,"(25.627573858549688, 23.788847678731294, 11.059150786545594)","(-0.9258684378752946, 33.861771777793074, -59.42607781698671)"
IMG-5B04889B9C,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},12baf52c48b31878c65aaee63de8b9f02ce97184,3D,"(0.9999999999999999, 0.9999999999999999, 2.0)","(53, 63, 51)",31.974660723828315,1.0,106.0,9caf9130d832bf749e77f6ab8c598e121387a388,"(0.9999999999999999, 0.9999999999999999, 2.0)","(53, 63, 51)","(5, 5, 5, 43, 53, 41)",22188,2,"(27.027176852352625, 27.372318370290248, 21.624481701820805)","(-13.633298687416271, 44.24937728737937, -120.65603659635839)"
IMG-999D48C03B,R1,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},ccefd2663bacf0a1447f2f56857804a290e18f98,3D,"(1.0, 1.0, 2.0)","(56, 56, 30)",24.654177295918366,2.0,64.0,54f52ae04f0eef43b2ac3cc12aefc458e0f6386d,"(1.0, 1.0, 2.0)","(56, 56, 30)","(5, 5, 5, 46, 46, 24)",13152,1,"(26.02417883211679, 28.42221715328467, 16.760720802919707)","(1.5288916433170137, 48.1497198084856, -22.274243845809533)"
IMG-EDA063D47C,R2,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},f7e7b4cb1738155a4235d8411f5f66883859d999,3D,"(1.0, 1.0, 2.0)","(64, 57, 38)",47.635063192520775,1.0,122.0,3efb21717c2429e50900bc7661c0c96dade2960d,"(1.0, 1.0, 2.0)","(64, 57, 38)","(5, 5, 5, 54, 47, 28)",19156,1,"(32.6778032992274, 23.796878262685322, 19.284453956984756)","(4.719346526290952, 30.003434625736936, 23.101530773688122)"
